CSI amplitudes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,state
811,12,11,12,10,9,8,9,8,8,9,10,11,11,11,12,11,12,12,12,12,13,12,13,12,12,11,12,11,11,12,12,12,12,11,11,12,13,13,13,13,14,14,14,14,14,15,16,16,16,18,18,19,0
812,14,13,12,12,12,11,11,11,11,11,12,12,13,13,14,14,15,14,15,14,15,14,14,14,14,14,13,13,14,13,14,14,14,14,14,14,15,16,16,17,16,17,17,17,18,19,19,19,20,20,22,22,0
813,14,13,11,11,10,9,9,9,10,11,12,12,12,13,13,13,13,13,14,14,14,14,14,13,14,13,13,13,13,13,13,13,13,13,13,14,14,14,15,15,16,17,16,17,17,17,18,19,20,20,21,21,0
814,13,12,12,11,11,11,10,9,10,11,12,12,13,13,14,14,14,14,14,15,14,14,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,15,14,14,16,17,17,17,18,18,19,18,19,20,21,22,0
815,13,12,13,11,10,9,10,10,10,11,11,11,12,14,13,14,13,14,14,14,14,14,13,14,13,13,13,13,13,13,13,13,13,13,13,15,15,14,15,14,16,16,17,17,18,17,19,18,19,20,21,22,0
816,30,27,27,28,26,27,21,21,25,25,27,33,36,30,30,35,35,35,35,34,36,34,32,31,32,38,32,35,34,35,34,33,37,35,35,42,46,42,42,45,43,51,46,51,50,55,49,55,49,61,52,61,0
817,10,10,14,13,10,10,9,10,11,10,12,12,13,13,15,14,14,14,14,15,14,14,14,14,13,14,13,13,13,13,13,13,13,13,14,14,15,14,15,16,16,17,17,18,18,18,19,19,19,20,21,22,0
818,11,12,11,10,9,10,9,9,9,10,10,11,11,12,12,13,13,13,13,13,13,13,13,12,13,13,13,12,13,12,12,12,12,12,13,12,14,14,14,15,15,16,16,16,16,17,17,17,18,19,19,20,0
819,12,11,11,10,9,9,9,9,9,9,11,11,12,12,12,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,13,12,12,12,13,13,13,14,14,14,15,15,16,16,17,17,18,19,20,20,20,0
820,13,12,11,11,10,9,9,9,10,9,11,12,12,13,13,13,13,13,14,14,14,14,14,14,14,13,13,13,13,12,13,13,13,13,13,14,14,15,14,15,15,17,17,17,17,17,18,18,19,20,21,22,0
821,13,12,11,10,12,9,9,10,11,10,11,11,12,12,12,13,13,14,14,14,14,14,14,13,13,13,12,13,13,12,12,13,12,13,14,14,14,14,14,15,16,17,18,16,16,18,18,18,20,20,22,21,0
822,16,15,14,13,13,12,11,11,13,14,13,14,16,16,16,17,16,16,17,17,16,17,16,16,16,17,16,15,14,15,15,16,16,16,16,16,18,18,18,18,19,20,20,21,22,21,23,23,24,25,27,25,0
823,14,14,8,8,11,10,11,9,11,11,11,11,13,13,13,13,13,14,13,14,13,13,12,13,13,13,12,13,12,12,12,13,12,13,14,13,14,15,14,14,15,16,17,16,18,17,19,18,19,19,19,21,0
824,17,16,15,13,13,12,12,12,13,13,14,15,15,16,17,17,17,17,17,17,17,16,17,17,16,16,16,15,15,16,16,16,16,16,17,17,18,16,18,20,19,19,21,19,21,24,24,24,23,22,27,26,0
825,16,16,15,15,13,13,10,12,13,13,13,14,14,15,17,16,17,17,17,16,17,17,16,17,17,16,16,16,16,16,16,16,16,16,17,16,18,17,18,19,19,19,21,20,21,21,23,21,25,25,24,24,0
826,12,12,10,10,9,9,9,9,9,9,11,11,11,13,13,13,13,12,13,13,13,12,12,12,12,13,12,11,13,12,13,12,13,12,12,13,13,13,14,15,15,16,15,17,17,17,18,18,17,19,20,21,0
827,12,12,10,10,9,9,9,8,9,9,10,12,12,12,13,12,13,12,13,13,13,12,12,13,12,12,11,12,12,11,11,12,12,12,13,13,14,14,15,14,15,16,16,16,16,16,18,18,20,20,19,19,0
828,15,14,13,12,12,11,10,10,11,11,11,12,13,14,16,15,15,16,14,17,16,15,11,15,14,15,13,15,13,12,15,15,13,16,15,16,16,19,16,17,18,18,19,18,20,17,20,20,22,22,24,25,0
829,13,14,10,11,10,9,9,9,9,10,10,13,12,12,13,13,13,13,13,14,14,13,13,14,13,13,12,13,13,13,13,13,13,11,13,10,12,13,14,15,15,15,16,16,17,17,17,18,19,19,21,21,0
830,10,11,10,10,8,8,7,9,9,9,10,10,11,11,12,12,13,13,12,12,13,12,12,12,12,12,12,11,11,11,11,11,12,11,12,13,13,13,14,14,14,15,15,16,17,16,18,18,18,19,20,21,0
831,13,10,10,10,9,8,9,9,11,9,11,11,13,12,12,14,13,13,14,14,13,13,13,13,13,12,13,13,13,12,12,13,12,12,13,13,14,14,14,14,16,16,16,16,17,17,18,18,19,20,21,21,0
832,11,11,10,10,9,8,8,8,8,9,10,10,11,11,12,12,12,13,13,12,13,12,12,12,12,12,12,11,11,11,11,11,12,12,12,12,12,12,14,14,14,15,15,16,16,16,16,17,18,19,20,21,0
833,16,17,14,13,13,10,12,11,11,12,14,14,16,15,16,16,17,16,17,17,17,16,17,17,17,15,15,16,14,15,15,14,15,16,13,13,17,18,17,18,17,18,18,19,21,20,22,21,23,24,24,26,0
834,12,12,10,9,10,9,9,9,10,9,10,11,12,12,13,13,13,13,14,14,14,14,13,13,13,13,12,12,12,12,12,12,13,12,13,13,14,14,14,14,15,15,16,16,16,17,17,18,19,19,20,21,0
835,12,13,11,11,9,10,9,9,9,10,11,11,12,13,13,13,13,14,15,12,12,14,14,14,11,15,12,14,14,11,13,12,11,13,13,12,14,12,13,13,14,15,18,14,17,16,18,21,20,19,21,19,0
836,11,10,10,9,9,9,8,8,8,9,9,10,10,11,11,11,12,12,12,12,12,12,12,12,12,11,11,11,11,10,11,11,11,11,11,11,12,12,13,13,13,13,14,14,14,15,16,16,17,17,18,18,0
837,13,13,12,11,11,9,10,9,9,9,11,10,12,13,14,14,14,15,13,14,15,15,13,14,15,13,14,14,14,16,12,14,15,14,12,14,14,13,16,15,15,16,17,18,18,18,20,18,19,20,22,22,0
838,11,11,9,9,9,8,8,8,8,9,9,10,11,11,12,12,12,12,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,12,12,13,12,13,13,14,15,14,15,15,15,16,17,17,18,19,20,0
839,15,14,13,13,13,12,11,11,11,12,14,14,16,16,16,16,17,17,17,17,16,16,17,16,16,16,16,15,15,15,16,15,16,15,16,16,16,17,17,17,18,18,19,19,19,19,21,21,23,24,24,25,0
840,16,16,13,13,12,11,11,11,11,11,12,13,14,15,15,17,16,16,17,16,18,16,16,16,16,16,15,15,15,14,15,15,15,15,14,15,15,16,17,17,17,17,18,18,19,19,21,21,22,23,24,25,0
841,11,11,10,9,9,8,8,9,8,8,9,9,11,11,11,12,12,13,13,12,13,12,13,12,12,13,11,11,11,11,11,11,12,12,11,12,12,12,12,13,13,14,14,14,15,15,16,16,17,18,18,19,0
842,11,10,8,8,9,7,7,8,8,9,10,10,10,11,11,11,11,11,11,12,12,11,10,10,11,10,10,11,10,10,10,10,11,11,9,12,12,11,11,12,13,13,13,13,14,14,15,15,16,16,18,17,0
843,12,11,10,10,9,7,8,8,9,9,10,10,11,11,12,12,12,12,12,13,13,13,12,12,12,11,12,12,12,10,11,10,11,10,12,12,12,12,13,12,12,14,15,14,14,14,15,16,18,19,18,19,0
844,11,11,9,10,9,8,7,8,8,8,10,10,10,11,12,11,12,12,13,12,12,12,12,11,12,12,11,10,11,10,11,10,10,10,14,11,11,12,12,13,13,14,13,14,15,14,15,16,16,18,18,19,0
845,12,12,11,10,10,9,9,9,9,9,10,11,11,12,12,13,13,13,13,13,14,13,13,13,13,12,12,12,12,12,12,12,13,12,12,12,12,13,13,13,14,14,15,15,15,16,16,17,18,18,19,20,0
846,13,13,12,11,10,9,9,9,9,10,11,11,12,13,13,13,13,13,14,14,14,14,13,13,13,13,13,12,13,11,13,12,12,12,13,12,13,13,14,14,14,16,16,16,16,16,17,16,18,19,18,20,0
847,13,12,11,11,9,9,8,9,8,9,10,11,11,11,12,13,13,14,14,13,13,13,13,12,12,12,12,11,11,12,11,11,12,12,12,13,13,13,12,12,13,13,14,14,16,16,16,15,17,18,19,20,0
848,16,14,13,13,12,11,11,11,12,11,12,12,14,14,15,15,16,16,17,16,16,16,16,15,14,16,14,14,14,14,13,14,14,13,16,16,13,14,16,15,17,16,17,17,18,19,19,18,20,21,22,23,0
849,16,16,14,13,13,12,11,11,11,11,12,13,14,15,16,16,16,17,17,16,17,16,15,16,15,15,14,14,14,13,14,14,14,14,14,14,15,15,16,16,16,17,16,17,18,18,19,19,21,21,22,23,0
850,15,14,14,13,11,11,11,10,11,11,12,13,13,14,14,15,15,15,16,16,15,15,14,14,14,14,14,14,14,14,14,14,14,13,13,13,14,15,15,16,16,16,16,18,17,18,18,19,21,22,21,23,0
851,13,13,12,11,10,9,10,10,9,10,11,10,12,11,13,13,12,14,14,13,15,13,13,14,13,12,12,12,12,13,12,12,12,11,13,13,13,13,12,14,15,15,16,16,16,15,16,16,18,20,19,20,0
852,12,11,14,12,12,11,7,10,9,10,9,10,11,12,13,12,14,13,14,13,13,13,12,12,13,13,12,12,12,11,11,11,12,12,11,11,13,13,12,13,13,14,15,16,16,15,16,16,17,18,19,19,0
853,11,14,8,11,8,7,11,9,10,9,10,10,11,12,13,13,13,13,12,14,13,13,14,12,13,13,11,12,11,12,11,11,12,13,9,11,13,11,12,12,13,13,15,15,15,14,15,15,17,17,17,18,0
854,13,12,11,11,11,9,9,9,9,10,10,11,11,12,13,14,13,13,13,13,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,16,16,16,16,17,17,17,20,0
855,16,14,14,13,13,11,11,11,12,11,13,14,13,14,16,14,16,14,16,16,17,15,15,15,15,14,15,14,14,14,14,14,13,13,14,14,14,15,15,15,16,17,16,17,18,18,19,19,19,20,22,23,0
856,16,14,14,13,12,11,11,11,11,12,12,13,14,14,15,16,15,16,16,16,16,16,16,16,15,14,14,14,14,15,13,14,14,14,14,15,15,15,16,15,17,16,17,18,18,18,19,18,19,21,21,23,0
857,15,14,13,13,12,11,11,10,10,11,11,12,14,13,14,14,15,15,16,15,16,15,14,15,14,14,14,14,13,13,14,14,13,13,12,12,14,14,14,15,15,16,16,16,17,17,18,18,19,21,20,21,0
858,16,14,13,13,12,11,10,11,10,11,12,12,13,13,15,15,15,14,16,16,15,15,15,14,14,15,14,13,13,13,13,13,13,13,13,13,13,14,15,15,15,17,16,16,17,17,17,19,19,21,21,22,0
859,16,16,15,14,12,12,12,11,12,12,13,14,14,15,16,16,17,17,17,17,16,16,16,16,15,16,16,15,15,15,15,15,14,14,14,14,15,15,15,17,17,17,17,18,18,18,19,20,20,22,23,23,0
860,30,29,27,28,23,22,20,21,22,22,22,28,29,26,26,29,34,31,28,31,32,34,28,32,25,30,26,28,30,29,27,26,26,27,31,37,35,32,33,36,34,37,34,38,37,41,39,40,39,43,43,47,0
861,13,13,11,11,10,11,9,9,9,10,11,11,11,12,12,13,14,13,13,14,14,13,12,13,13,12,12,12,11,12,12,12,12,11,14,14,12,12,13,14,14,14,14,14,15,15,16,16,17,18,18,19,0
862,13,13,11,11,10,10,9,9,10,10,11,11,12,13,13,13,13,13,14,14,13,13,12,13,13,13,13,12,12,11,12,12,12,12,12,12,14,12,13,16,14,15,14,17,15,15,15,17,17,19,19,20,0
863,13,13,11,11,9,9,9,9,9,10,9,11,11,12,11,13,12,12,13,13,14,12,12,13,12,14,13,10,12,10,12,11,12,11,11,11,11,12,12,13,13,13,14,14,15,15,15,16,16,16,17,19,0
864,16,16,14,13,12,12,11,11,12,11,12,14,15,15,15,16,15,16,16,16,16,15,15,14,14,14,14,14,13,14,14,14,13,13,14,14,14,14,15,15,16,17,17,18,18,19,19,19,20,21,22,22,0
865,18,19,16,16,14,14,13,13,13,12,14,14,15,16,17,17,17,17,19,18,18,18,16,17,17,17,16,16,16,16,16,16,15,15,16,16,17,16,16,17,17,19,18,19,20,19,19,21,21,24,25,26,0
866,17,16,16,16,14,13,12,12,12,12,13,14,15,16,15,17,16,16,16,17,16,16,16,16,16,16,15,14,15,14,14,14,15,14,15,15,15,15,14,15,17,15,17,17,18,19,19,19,20,21,22,23,0
867,11,12,11,10,9,9,8,8,9,9,9,9,10,11,11,12,12,12,13,12,12,12,12,11,11,11,11,10,11,11,10,10,10,9,9,10,10,12,10,13,13,11,12,14,12,12,12,16,16,13,16,21,0
868,13,12,12,11,10,9,9,10,8,10,10,11,11,11,12,13,12,12,14,13,13,13,12,13,12,12,11,12,11,11,11,11,12,11,11,12,11,11,11,14,15,15,14,13,15,16,15,17,17,18,19,18,0
869,17,17,19,16,12,13,12,12,12,13,14,15,15,16,16,17,17,16,17,17,17,17,17,17,16,16,15,15,14,15,15,12,16,15,13,14,14,16,19,17,17,17,19,18,16,18,20,21,22,23,22,26,0
870,16,15,14,14,12,11,11,11,11,11,12,12,13,14,16,15,16,15,15,15,15,15,14,15,15,14,14,13,14,13,13,13,13,12,13,13,14,13,15,15,16,16,16,17,16,17,18,18,20,20,22,22,0
871,16,16,14,13,12,12,11,12,12,13,13,13,15,15,15,15,16,16,16,17,17,16,16,15,14,16,14,13,14,14,13,13,14,13,16,13,15,14,15,16,16,17,16,17,16,17,19,18,19,20,21,21,0
872,17,15,13,13,13,11,11,10,11,12,12,13,13,14,15,16,15,15,16,16,16,16,15,15,14,15,13,13,13,13,13,13,14,14,12,11,15,13,14,15,16,16,17,16,19,19,19,19,21,19,22,24,0
873,17,15,13,15,13,11,10,10,11,11,11,13,14,13,13,15,15,15,16,14,15,15,14,15,14,14,13,13,12,12,12,12,13,12,11,13,13,14,13,14,15,16,16,16,17,16,18,18,19,20,21,21,0
874,12,12,11,10,9,9,9,8,8,8,9,9,10,11,12,12,12,11,12,12,12,12,11,11,11,11,10,10,11,10,10,11,10,10,10,11,12,11,9,12,11,12,14,14,13,14,14,14,15,16,17,18,0
875,16,16,15,14,13,11,11,11,12,12,12,13,14,16,14,16,15,16,16,16,16,15,16,15,14,15,15,14,14,14,14,13,14,13,13,14,15,14,15,15,16,16,17,17,18,18,19,19,20,21,21,22,0
876,16,16,14,13,13,12,10,12,12,13,12,12,14,16,16,16,14,16,15,17,16,16,15,15,15,15,13,15,13,13,13,13,13,13,14,14,15,15,15,15,16,16,17,16,16,17,19,19,21,20,22,22,0
877,16,16,14,13,13,12,11,11,11,11,13,13,14,14,15,15,16,16,16,16,16,16,15,15,14,14,14,14,14,14,13,14,14,13,13,14,13,14,15,15,15,16,16,16,16,17,18,18,19,20,21,22,0
878,16,16,13,13,11,12,10,11,11,10,12,13,13,14,13,15,15,15,15,15,15,14,14,13,14,14,13,14,14,13,12,13,13,14,13,18,14,13,14,15,14,15,15,15,16,16,17,18,19,20,20,21,0
879,14,13,12,11,10,10,9,9,10,10,11,11,12,13,13,14,14,14,13,14,13,14,13,13,13,12,12,12,12,12,12,12,12,11,11,12,12,13,13,13,14,14,15,15,15,16,16,17,18,18,19,20,0
880,15,15,14,14,12,11,10,10,10,11,12,12,13,14,14,15,16,14,15,15,15,14,14,14,14,14,13,13,13,13,13,13,13,12,12,12,13,12,14,14,15,16,15,16,17,16,18,18,19,20,20,21,0
881,15,13,14,14,11,11,10,9,9,11,11,13,13,14,13,15,14,14,15,16,15,14,13,14,14,14,12,13,13,13,13,13,13,12,12,12,13,13,13,14,15,15,14,16,16,16,17,17,18,19,20,20,0
882,13,11,11,10,9,8,9,8,9,9,10,10,11,11,12,12,12,11,12,12,12,11,11,12,11,11,10,11,11,10,10,10,10,10,11,11,11,11,11,12,12,13,12,13,13,13,14,14,16,16,17,17,0
883,17,17,15,13,14,13,12,12,12,12,13,14,14,15,16,16,15,15,15,16,15,15,15,15,15,15,13,13,13,13,13,14,13,12,14,14,14,14,14,14,15,16,15,17,17,18,18,18,18,19,21,21,0
884,18,16,16,17,14,13,12,13,12,12,13,13,15,15,16,16,16,17,17,17,17,16,16,16,16,16,14,14,15,14,14,14,14,13,15,15,14,14,15,15,17,16,16,17,18,18,19,19,21,22,23,23,0
885,16,16,15,13,13,12,11,11,11,11,12,12,13,13,15,15,15,15,16,16,16,15,15,15,14,14,13,15,13,13,13,13,13,13,13,14,13,14,14,15,14,15,16,16,17,17,18,18,19,19,20,21,0
886,34,26,36,27,25,17,28,22,24,23,28,39,30,35,32,36,36,31,28,40,41,41,29,33,38,35,32,37,29,26,27,36,39,37,31,46,41,44,42,46,37,50,51,49,43,49,49,49,50,59,55,60,0
887,18,19,16,15,15,15,11,12,12,12,15,14,16,16,17,18,17,17,17,18,19,17,16,17,16,17,15,17,16,15,16,15,15,15,10,13,15,15,16,17,16,17,18,18,19,18,20,20,21,22,23,25,0
888,12,11,10,10,9,8,7,8,7,8,9,9,10,10,11,10,11,11,11,11,11,11,10,11,10,11,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,11,11,12,12,12,13,13,13,14,15,16,0
889,16,16,14,13,12,11,11,10,10,11,11,12,13,13,14,15,14,14,14,15,15,14,14,14,14,14,13,13,13,12,12,13,12,12,12,12,12,12,14,14,14,14,15,16,16,16,17,17,18,19,20,21,0
890,17,16,14,14,12,12,12,11,11,12,13,14,15,14,15,15,16,15,16,15,16,15,15,16,15,15,14,14,14,13,14,14,13,13,13,13,14,13,14,15,15,16,16,17,17,17,18,18,20,20,21,22,0
891,15,16,14,14,13,12,11,11,11,11,11,13,14,14,15,14,14,14,16,15,14,14,14,16,14,15,14,13,13,13,13,12,13,11,13,11,13,12,13,14,14,15,15,17,17,17,17,17,19,19,21,21,0
892,18,18,17,16,14,13,12,12,12,12,12,14,14,15,16,16,17,17,17,17,17,16,16,16,16,16,15,14,14,15,14,14,14,14,14,14,16,13,16,17,14,17,18,19,19,17,19,20,20,21,24,25,0
893,17,15,15,13,13,11,10,10,10,10,11,12,12,13,13,15,14,15,14,15,16,14,14,14,13,13,13,13,12,12,12,13,13,12,12,12,12,13,13,14,14,14,15,15,16,16,17,17,18,19,19,20,0
894,16,15,15,13,13,12,11,11,11,11,13,13,13,13,14,14,14,16,15,16,15,15,15,14,13,13,13,13,13,13,12,13,13,12,13,13,14,13,14,13,14,15,16,16,17,17,17,18,19,20,21,21,0
895,17,16,14,15,11,12,11,9,10,10,12,12,13,13,14,14,14,14,15,15,15,14,13,14,13,13,13,12,13,11,13,12,12,11,12,11,12,13,13,14,13,15,15,15,15,15,16,17,17,19,20,21,0
896,17,17,15,15,12,12,11,11,10,11,11,12,14,14,14,14,14,15,15,15,15,15,15,15,13,14,13,12,12,13,13,13,12,13,13,12,12,13,14,14,15,15,16,16,16,17,17,17,18,20,20,21,0
897,13,12,11,11,10,9,9,8,8,8,9,9,10,11,11,11,11,11,11,12,11,12,10,11,11,11,11,11,10,9,10,9,9,10,9,10,10,10,10,11,11,11,13,12,13,12,13,13,15,16,17,18,0
898,12,15,10,12,13,11,9,9,9,9,9,10,11,11,12,12,12,12,13,13,13,13,12,12,12,12,11,11,11,10,11,11,11,11,10,10,10,11,11,12,12,12,13,13,14,14,15,15,15,16,17,18,0
899,17,16,16,14,13,12,11,11,11,12,12,13,13,14,14,15,16,16,16,14,16,14,17,16,13,13,15,15,14,15,13,13,14,12,14,13,15,16,14,14,13,16,14,14,17,16,18,19,19,19,19,23,0
900,17,16,16,15,13,12,12,11,11,12,13,13,14,14,15,15,16,15,15,16,16,16,15,15,15,15,13,14,14,14,13,14,14,13,13,13,13,14,14,15,15,17,16,17,17,17,18,19,20,20,21,22,0
901,17,17,16,14,14,12,12,11,12,11,12,13,13,14,15,16,15,16,16,16,15,15,16,15,16,14,13,13,14,13,14,13,13,15,11,14,14,14,14,15,16,16,16,16,16,17,18,19,20,20,21,21,0
902,14,13,13,13,11,10,9,9,9,9,11,11,11,11,12,11,12,12,12,13,13,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,12,12,13,12,12,14,14,14,14,15,15,17,16,17,17,18,0
903,13,13,12,12,11,10,9,9,9,9,9,10,10,11,12,12,12,12,13,12,13,12,12,12,12,11,11,11,11,10,11,11,10,10,10,10,11,11,12,13,12,13,13,13,14,14,15,15,16,16,17,17,0
904,13,12,11,11,10,9,9,7,7,8,8,9,10,10,10,10,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,10,10,10,10,10,11,11,12,11,11,13,12,12,13,14,18,16,16,0
905,13,12,11,10,10,8,8,9,8,8,9,9,9,9,11,11,11,11,11,11,11,10,10,10,10,10,9,10,10,9,9,9,9,9,9,10,9,10,11,11,11,12,12,12,12,13,15,13,15,13,16,16,0
906,16,17,15,13,13,11,11,11,11,12,11,12,13,14,15,14,14,15,15,15,15,15,14,14,14,14,13,13,12,13,12,13,13,12,13,13,14,14,14,15,15,17,16,17,17,18,19,18,20,20,21,22,0
907,14,12,10,10,11,11,7,9,9,11,10,9,11,11,11,11,11,11,12,12,12,11,12,12,11,11,11,11,11,10,9,11,10,11,9,10,11,12,12,10,12,13,13,13,13,14,17,16,15,15,17,18,0
908,15,15,14,13,12,11,11,9,10,10,11,11,12,12,13,13,13,13,14,14,14,14,13,14,13,13,11,12,12,11,11,12,12,12,11,11,12,13,13,13,13,14,15,14,15,16,16,17,17,18,20,20,0
909,17,15,17,15,13,13,14,11,11,10,12,12,13,13,15,14,14,15,14,15,16,15,15,13,14,13,13,13,13,13,13,12,12,12,13,13,13,14,15,15,14,16,16,17,17,17,18,18,17,19,21,21,0
910,13,12,9,11,9,10,8,8,8,8,8,9,10,10,11,11,11,11,11,12,11,11,11,11,10,11,11,10,10,9,9,11,9,10,9,10,10,11,11,11,12,12,12,13,13,13,14,14,15,16,15,16,0
911,17,16,16,16,13,12,11,11,12,12,13,13,13,13,14,15,15,16,16,15,15,16,14,15,14,13,13,13,13,12,14,14,14,13,16,11,15,14,16,14,15,17,16,16,17,17,17,18,19,20,21,21,0
912,13,12,11,11,10,9,8,8,9,9,9,9,10,11,11,12,12,12,11,12,12,12,12,11,11,11,11,11,9,10,10,10,10,10,10,11,10,10,11,11,12,13,13,14,14,14,15,16,16,16,17,18,0
913,14,16,13,13,12,11,10,11,9,9,10,11,12,13,13,12,13,13,14,14,14,14,13,12,13,13,13,12,12,11,12,11,12,11,10,9,12,13,13,14,13,15,14,15,15,16,17,17,17,18,19,20,0
914,16,16,15,14,13,13,11,11,11,11,12,12,14,14,14,15,15,14,16,15,16,15,15,15,14,14,13,13,13,13,13,13,13,13,13,13,14,14,14,15,15,16,16,16,17,17,18,18,19,20,21,22,0
915,13,12,10,11,9,8,9,8,8,8,9,9,10,10,10,11,12,11,10,10,11,11,10,10,10,10,10,9,10,9,9,9,10,9,12,10,9,10,10,11,11,11,13,13,13,13,14,13,14,15,15,17,0
916,15,17,18,12,12,13,10,10,11,11,11,12,13,14,14,15,14,15,16,16,15,15,14,14,14,13,13,13,13,13,13,13,13,12,12,12,13,13,14,13,15,15,16,16,16,16,18,18,18,21,20,21,0
917,13,11,12,11,10,9,9,8,9,10,9,10,11,11,11,11,12,12,12,11,11,12,11,11,11,11,11,11,11,10,11,10,11,9,12,12,12,11,12,11,13,12,13,13,13,14,14,14,16,17,17,18,0
918,18,17,16,15,14,12,12,11,12,12,13,13,14,15,16,16,16,17,18,17,16,16,16,16,16,16,16,14,15,15,14,13,14,14,13,13,16,15,17,16,16,18,18,20,19,20,21,22,22,22,24,24,0
919,17,17,16,15,12,12,13,12,11,12,13,13,14,14,15,16,15,15,16,16,15,15,15,15,14,14,13,14,13,12,13,13,13,13,13,13,14,14,15,15,16,16,17,17,18,18,18,18,20,20,22,23,0
920,18,17,15,14,15,13,13,13,12,13,13,13,15,16,15,17,16,16,17,17,16,16,16,16,15,15,15,15,13,16,15,15,15,13,16,15,14,16,16,17,16,17,19,18,18,21,21,21,22,23,23,25,0
921,17,16,15,13,13,12,11,11,11,13,12,13,13,14,15,15,15,15,16,15,16,15,15,14,14,14,14,13,14,13,13,14,13,13,14,13,14,15,15,16,16,17,17,18,18,18,19,19,20,21,22,23,0
922,16,16,15,15,13,13,11,11,10,11,12,13,14,14,15,15,15,15,16,15,16,15,15,16,14,14,14,14,14,14,14,13,13,13,13,14,14,15,15,15,16,16,17,17,18,18,19,20,20,21,22,22,0
923,15,14,14,12,12,12,10,10,10,10,11,12,13,13,14,14,14,14,14,15,14,14,14,14,14,13,13,13,13,13,13,13,13,12,12,13,14,13,14,14,15,16,15,17,16,16,18,18,19,21,21,21,0
924,14,13,12,11,11,10,9,9,9,9,10,10,11,11,12,12,12,12,12,13,13,13,12,12,12,12,12,12,10,10,11,11,10,11,11,12,12,12,12,13,13,14,14,14,15,15,16,16,16,17,18,19,0
925,17,16,15,15,12,13,11,12,12,12,13,13,14,14,15,15,15,15,16,16,16,16,15,15,15,15,14,14,14,13,14,14,14,14,13,14,15,15,15,16,16,17,18,17,19,18,19,19,20,21,22,22,0
926,13,13,11,13,11,11,10,10,9,10,10,11,12,11,12,12,13,13,13,13,13,12,13,13,13,12,12,11,11,11,11,11,11,12,12,12,13,13,13,13,13,14,14,14,14,14,16,17,17,18,17,19,0
927,14,12,11,11,11,9,9,8,9,10,9,10,11,11,12,11,12,12,13,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,14,14,14,14,14,15,15,16,16,17,18,0
928,17,17,15,15,15,13,12,12,12,12,12,13,13,14,15,15,15,15,16,16,16,15,15,15,14,14,14,13,13,14,14,13,14,13,13,13,14,14,15,15,16,17,16,17,17,17,18,18,18,20,21,21,0
929,15,16,13,12,12,12,10,10,10,11,10,10,11,11,12,12,13,12,13,13,14,13,12,13,12,11,12,10,11,10,12,11,12,10,15,13,12,11,13,13,12,14,14,14,14,14,15,17,15,16,18,20,0
930,12,11,10,10,9,8,8,8,8,8,9,9,10,10,9,10,10,10,10,10,10,10,9,10,9,9,9,9,9,8,9,9,9,10,9,9,10,10,10,10,10,9,12,14,11,10,12,10,14,18,14,17,0
931,15,17,14,15,13,12,13,12,12,11,13,12,14,14,14,15,15,14,16,16,16,15,13,14,14,14,13,12,12,13,13,13,13,12,11,11,15,13,15,15,14,14,15,16,17,16,19,17,18,18,20,20,0
932,13,14,12,10,12,11,9,10,10,10,10,10,11,11,12,11,12,12,12,13,12,12,11,11,11,11,11,11,10,9,10,10,10,11,11,11,11,10,11,11,12,13,13,13,12,13,14,13,14,16,16,17,0
933,16,14,15,14,13,12,12,11,11,11,12,12,13,13,13,13,13,13,14,13,13,14,13,13,13,13,12,12,12,12,12,12,12,11,11,12,12,12,13,13,13,13,15,14,14,15,16,16,16,17,18,18,0
934,21,19,16,17,16,14,13,13,13,13,13,14,14,16,15,17,15,17,15,16,15,15,15,14,14,15,14,14,13,13,13,13,13,15,10,16,14,14,14,15,16,15,16,16,17,17,17,17,19,19,20,21,0
935,15,15,13,13,11,11,11,10,10,10,11,11,11,12,11,12,12,11,12,12,13,13,11,11,11,11,11,11,11,10,11,11,11,10,11,12,11,11,11,13,11,13,13,12,13,13,13,14,15,14,16,16,0
936,22,21,19,20,16,15,15,16,14,13,14,15,16,16,16,16,16,17,16,18,18,17,16,16,16,16,15,15,15,14,14,15,13,14,14,16,16,14,17,16,18,17,18,17,18,18,19,17,19,21,21,22,0
937,17,16,15,15,14,12,12,12,10,11,11,12,12,13,12,12,13,13,13,14,14,13,12,13,13,12,12,12,12,11,12,12,11,12,11,11,11,13,12,12,12,13,14,13,14,14,15,15,16,16,16,17,0
938,20,19,17,17,16,15,14,13,13,13,14,13,14,15,15,16,14,14,16,16,16,16,14,16,15,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,15,16,16,16,17,17,18,18,19,20,0
