amp-ave,amp-sd,phase-ave,phase-sd,group
18.812,4.948,-2.218,0.178,2
18.826,5.248,2.02,0.232,2
19.886,5.337,-2.435,1.639,2
19.527,5.406,-0.94,0.188,2
18.256,4.794,-2.4,0.215,2
18.231,5.299,1.012,0.233,2
20.032,5.802,-2.543,0.218,2
16.971,4.864,2.19,1.9,2
16.346,4.486,1.858,0.15,2
18.65,5.34,-0.266,0.185,2
18.299,4.929,2.562,0.2,2
16.818,4.55,1.998,0.217,2
18.361,4.532,-0.282,0.218,2
18.218,3.87,-2.661,0.205,2
19.87,3.978,-0.567,0.179,2
19.319,3.82,-2.372,0.172,2
20.574,4.04,2.133,0.174,2
19.18,4.426,-1.106,0.147,2
19.138,4.902,0.686,0.181,2
20.371,5.043,-1.297,0.171,2
19.09,5.128,0.43,0.191,2
20.752,5.499,2.457,0.204,2
22.56,6.253,1.903,0.201,2
19.899,5.677,-0.319,0.193,2
20.285,6.685,0.692,0.234,2
19.284,5.831,1.553,0.203,2
20.041,7.392,1.681,0.235,2
15.267,5.908,1.319,0.167,2
17.504,4.996,2.191,0.168,2
16.883,4.02,-2.083,0.136,2
18.89,4.401,-2.934,0.14,2
18.362,3.888,-2.286,1.982,2
18.835,3.774,-0.44,0.109,2
19.451,3.326,-1.547,0.097,2
20.676,3.953,-1.378,0.132,2
18.481,3.695,-2.814,0.124,2
19.988,4.672,-1.218,0.11,2
19.166,3.834,-2.141,0.145,2
16.773,3.779,0.32,0.151,2
20.274,4.235,2.531,0.16,2
20.525,4.413,2.39,0.156,2
21.533,4.056,-2.229,0.106,2
18.027,3.918,0.028,0.137,2
19.256,4.21,0.321,0.151,2
19.296,4.019,-0.784,0.101,2
20.037,3.914,-2.506,0.075,2
18.998,4.116,-2.393,0.096,2
18.929,4.923,0.386,0.136,2
19.202,5.003,-0.356,0.11,2
18.447,4.599,-2.02,0.127,2
17.996,4.665,-1.284,0.123,2
19.572,5.179,-0.664,0.124,2
18.192,5.27,0.758,0.183,2
19.939,5.512,-1.015,0.134,2
18.308,4.995,-1.723,0.101,2
17.953,4.514,-1.712,0.111,2
20.092,5.098,-2.523,0.1,2
16.915,4.529,1.87,0.111,2
17.673,4.663,-1.659,0.124,2
17.655,4.883,-0.889,0.109,2
20.698,7.182,-2.077,0.133,2
18.704,8.665,-0.881,0.308,2
14.381,7.057,0.458,0.337,2
18.209,7.765,-2.577,0.301,2
20.338,8.897,2.405,0.821,2
21.214,9.349,0.64,2.885,2
20.459,8.155,2.367,0.354,2
18.803,7.331,-1.583,0.324,2
18.984,5.731,-1.733,0.22,2
18.127,5.657,0.713,0.228,2
19.057,5.714,-0.396,0.229,2
21.934,6.4,2.383,0.246,2
21.735,6.25,-1.403,0.229,2
21.643,5.865,1.604,2.399,2
19.621,5.325,-2.815,0.173,2
21.929,5.664,-0.212,3.005,2
19.177,4.456,2.025,0.187,2
19.13,4.45,0.863,0.179,2
20.707,4.303,-2.026,0.119,2
18.822,3.758,-2.695,0.124,2
20.308,4.117,0.724,0.156,2
22.593,4.39,2.223,0.155,2
21.452,4.243,-1.07,0.148,2
18.635,3.632,1.403,2.709,2
20.747,3.927,-1.441,0.102,2
20.888,3.851,-1.717,0.124,2
20.998,3.406,-2.164,0.106,2
17.946,3.183,2.257,0.116,2
20.529,4.135,-1.403,0.124,2
20.817,4.225,-1.472,0.122,2
21.519,4.405,-2.367,0.154,2
22.693,4.578,-2.22,0.11,2
22.603,4.833,-0.819,0.116,2
18.942,4.171,-1.866,0.123,2
19.81,4.464,2.08,0.144,2
18.896,4.289,-1.97,0.146,2
19.006,4.371,1.021,0.184,2
22.101,4.657,2.21,0.134,2
19.241,4.295,0.665,0.136,2
18.212,3.72,-1.818,0.118,2
19.654,4.285,0.611,0.119,2
21.903,4.581,1.73,0.139,2
21.728,4.665,1.365,0.13,2
22.527,4.795,-0.501,3.021,2
21.823,5.24,0.409,0.173,2
20.13,5.029,-1.193,0.183,2
22.234,5.558,-0.759,0.152,2
22.368,5.682,-0.776,0.145,2
22.446,5.626,-1.328,0.171,2
19.185,4.771,1.713,0.201,2
19.06,4.989,-0.915,0.158,2
21.463,6.136,2.605,0.213,2
18.636,5.752,-0.098,0.216,2
21.13,6.344,-2.625,0.227,2
20.488,6.634,2.072,0.257,2
17.401,6.129,1.294,0.262,2
19.591,7.215,0.741,0.239,2
19.75,6.602,-2.213,1.963,2
20.045,6.704,-2.346,0.222,2
19.755,6.702,2.3,0.218,2
18.908,5.366,0.331,3.039,2
19.405,5.328,-0.08,0.139,2
17.232,4.474,2.393,0.152,2
20.456,5.184,-2.063,0.128,2
19.348,4.947,2.399,0.139,2
20.975,5.588,2.585,0.119,2
17.807,5.227,0.464,0.145,2
18.249,5.111,-2.055,0.108,2
19.37,5.507,-0.765,0.111,2
19.9,5.005,-1.642,0.108,2
19.003,4.836,-0.486,0.108,2
19.187,4.386,2.524,0.11,2
16.709,4.281,2.176,0.112,2
18.216,4.715,-0.015,0.126,2
18.663,3.99,-0.064,3.087,2
19.811,4.421,-0.137,0.101,2
18.853,3.853,-2.388,0.103,2
17.866,3.647,-2.18,0.122,2
17.304,3.866,2.006,0.143,2
17.488,4.051,0.161,0.15,2
17.894,3.741,0.249,0.114,2
17.607,3.494,-0.175,0.12,2
19.57,3.906,2.573,1.416,2
21.967,4.461,-2.711,0.108,2
17.991,4.354,0.777,0.154,2
19.159,4.632,2.81,0.13,2
19.89,4.723,0.749,2.969,2
19.298,4.803,-0.649,0.132,2
18.164,3.959,-0.128,0.128,2
19.514,3.876,1.232,0.133,2
17.173,3.468,0.709,0.158,2
16.592,3.007,0.728,0.147,2
19.382,4.024,-1.143,0.157,2
19.659,4.146,-2.795,0.139,2
18.818,4.734,-1.397,0.166,2
17.886,4.137,-2.466,0.147,2
20.099,3.977,-2.921,0.138,2
18.628,3.884,-0.872,0.117,2
19.221,4.163,2.435,0.137,2
18.413,3.76,-0.816,0.163,2
15.363,3.709,0.767,0.166,2
15.679,3.471,1.767,0.133,2
18.218,4.351,-0.416,0.083,2
18.092,4.316,1.668,0.118,2
16.952,5.026,1.589,2.543,2
14.809,4.679,1.215,2.811,2
15.561,5.351,1.842,0.1,2
15.696,5.277,1.692,0.138,2
19.1,6.011,-1.473,0.092,2
18.363,5.672,1.364,0.132,2
18.238,5.561,0.698,0.104,2
16.664,5.434,1.573,0.186,2
17.637,6.846,0.365,0.269,2
15.787,6.657,0.277,0.271,2
18.7,7.499,2.142,0.288,2
20.787,8.31,-1.431,0.169,2
20.384,7.543,1.432,2.606,2
18.321,7.004,0.76,0.279,2
19.402,6.684,0.346,0.253,2
16.565,5.799,-0.943,0.213,2
19.491,6.47,-1.834,0.273,2
20.261,6.398,-2.472,0.297,2
19.636,6.413,-0.488,0.303,2
20.036,6.397,1.144,0.309,2
18.881,5.885,1.869,0.308,2
17.854,4.864,-0.584,0.213,2
21.643,4.533,1.184,0.179,2
17.894,3.384,2.121,0.155,2
19.891,3.65,1.723,0.155,2
18.643,3.305,-1.417,0.134,2
20.735,3.974,-1.986,0.155,2
19.282,4.123,-2.555,0.189,2
19.434,4.356,-2.14,0.218,2
20.135,5.085,0.284,0.2,2
21.082,5.055,-1.309,0.208,2
17.568,4.359,1.058,0.201,2
18.299,4.16,-2.565,0.197,2
18.169,4.041,-0.823,0.174,2
21.624,4.63,1.978,0.192,2
17.311,3.321,-1.725,0.126,2
17.837,3.522,1.055,0.173,2
18.322,3.255,1.059,0.14,2
18.603,2.794,1.431,0.098,2
18.875,2.796,2.315,0.108,2
15.327,2.82,1.987,0.139,2
16.527,3.376,1.248,0.204,2
16.513,3.976,2.023,0.204,2
16.432,3.984,1.727,0.201,2
20.483,4.564,-2.131,0.119,2
18.669,4.053,2.566,0.149,2
17.101,3.622,-2.373,0.147,2
17.169,3.823,-2.835,0.159,2
17.774,4.564,0.287,0.157,2
20.397,5.27,-2.019,0.167,2
17.203,4.65,-0.523,0.142,2
20.114,5.254,1.983,0.186,2
17.585,4.622,2,0.203,2
20.617,5.372,1.443,2.599,2
19.113,5.688,0.44,0.195,2
19.126,5.411,1.12,0.208,2
21.036,5.35,-2.178,0.185,2
20.987,5.176,-1.179,0.164,2
17.423,3.904,1.2,2.766,2
18.672,4.254,0.81,0.181,2
16.795,3.854,0.414,0.185,2
16.162,3.366,-2.295,0.182,2
18.936,4.375,2.084,0.199,2
19.149,4.42,-1.643,0.17,2
17.52,4.391,1.806,0.168,2
18.648,4.499,-1.523,0.155,2
18.412,4.541,-2.578,0.158,2
18.256,4.713,-0.197,0.133,2
14.257,3.745,1.151,0.157,2
16.251,4.007,2.157,0.18,2
17.337,3.808,2.571,0.151,2
17.757,3.717,2.726,0.156,2
19.281,3.96,-2.688,0.139,2
18.238,3.882,-1.637,0.135,2
18.5,3.855,-1.518,0.12,2
18.674,4.002,-1.533,0.13,2
17.011,3.204,2.407,1.602,2
17.323,3.274,-2.512,0.167,2
18.549,3.882,2.205,0.205,2
20.492,5.103,2.652,0.231,2
20.365,5.606,0.188,0.236,2
21.835,5.638,1.326,0.174,2
19.864,4.842,-0.24,0.186,2
20.591,4.577,-0.45,0.17,2
18.145,4.131,-0.063,0.162,2
18.797,4.459,2.047,0.198,2
20.535,5.053,-0.181,0.175,2
20.486,5.546,2.154,0.205,2
21.199,5.791,-1.354,0.184,2
