group,index#1:,index#2:,index#3:,index#4:,index#5:,index#6:,index#7:,index#8:,index#9:,index#10:,index#11:,index#12:,index#13:,index#14:,index#15:,index#16:,index#17:,index#18:,index#19:,index#20:,index#21:,index#22:,index#23:,index#24:,index#25:,index#26:,index#27:,index#28:,index#29:,index#30:,index#31:,index#32:,index#33:,index#34:,index#35:,index#36:,index#37:,index#38:,index#39:,index#40:,index#41:,index#42:,index#43:,index#44:,index#45:,index#46:,index#47:,index#48:,index#49:,index#50:,index#51:,index#52:,index#53:,index#54:,index#55:,index#56:,index#57:,index#58:,index#59:,index#60:,index#61:,index#62:,index#63:,index#64:
stand,20.616,21.541,21.19,21.932,21.471,20.125,22.361,23.707,23.259,22.825,23.707,23.324,23.324,21.954,23.324,22.472,22.472,21.095,21.095,21.095,21.095,19.723,18.868,18.868,18.868,18.868,17.493,17,16.125,15.652,15.652,15.232,14.318,14.318,13,12.083,12.083,11.705,10.77,10.77,9.487,9.487,8.246,8.246,7.28,7.071,6.083,5,5,4,4,3.162,0,0,0,0,0,0,0,0,0,0,0,0
stand,26.173,26.87,28.32,28.284,29.698,29,29,29.732,29.732,30.48,30.48,29.833,29.833,29.833,29.206,29.833,28.425,28.601,27.803,27.803,26.401,25.612,25.612,24.839,24.839,23.431,22.672,21.932,21.213,21.213,19.799,19.799,19.105,18.385,16.971,18.439,16.279,15.62,15,14.213,14.213,12.806,12.207,10.817,10.296,9.434,9.434,8.062,8.062,6.708,6.708,5.099,0,0,0,0,0,0,0,0,0,0,0,0
stand,26.249,26.249,26.571,27.857,27.514,28.231,28.231,28.636,28.636,28.636,29.547,29.069,29.069,28.178,28.653,28.178,27.295,26.42,26.42,25.554,25.554,24.698,24.187,23.707,23.707,22.361,22.361,21.024,20.616,19.698,19.698,18.788,18.788,17.889,17.088,17.088,15.811,14.866,14.56,13.601,13.601,12.369,11.402,10.44,10.198,9.487,9.22,8.246,7.071,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.345,23.537,23.537,25.71,24.739,26.683,25.71,25.962,25.962,26.249,26.249,26.249,26.249,26.571,26.571,25.298,25.298,24.352,25.298,24.352,23.409,22.472,22.136,22.136,21.19,20.881,19.925,18.682,19.647,17.464,18.439,17.464,16.492,15.297,15.297,14.142,14.142,13.153,13.038,12.166,11.045,11.045,10.05,9,9,8.062,7.071,6,5.099,6.083,5.099,3.606,0,0,0,0,0,0,0,0,0,0,0,0
stand,25.06,25.06,25.554,26.077,26.926,26.926,27.459,28.018,28.018,28.018,28.018,27.803,27.803,27.803,27.019,27.019,26.401,25.612,25.612,25.612,24.207,24.207,24.207,23.601,22.804,22.204,20.809,20.248,20.248,20.248,18.868,18.028,17.493,17.493,16.125,16.125,16.125,14.765,13.416,13.416,12.083,11.705,12.083,10.77,10.77,9.487,8.544,8.544,7.616,6.083,5,6.083,0,0,0,0,0,0,0,0,0,0,0,0
stand,24.739,23.77,24.739,24.739,25.962,26.249,26.249,26.571,27.514,27.857,27.857,26.926,26.926,27.313,26.401,26.401,25.08,26,25.08,25.08,23.707,24.166,23.259,22.472,21.932,21.541,20.616,20.248,18.974,18.974,18.974,18.974,16.763,16.763,15.524,16.492,14.56,14.318,13.342,12.369,12.166,11.18,11.18,10.05,9.055,9.055,8.062,8,7,7.071,6.083,5.099,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.087,23.087,24.083,25.08,25.179,25.179,26.173,26.306,26.306,26.476,26.683,25.962,25.962,25.962,25.962,25.71,24.739,24.739,24.042,23.77,22.804,22.561,21.84,21.587,20.881,21.587,19.647,20.396,19.235,18.248,18.248,17.263,17.117,16.125,15.033,15.033,14.142,13.153,13.153,12.042,11.045,10,10,9,9.055,8.062,7.071,6.083,6.083,5.385,5.385,4.472,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.195,24.187,25.179,25.318,25.318,25.495,26.476,26.476,26.683,26.683,27.893,27.203,26.249,26.249,26.249,26.249,25.298,24.352,24.042,24.352,24.042,24.042,22.136,22.136,22.136,21.84,20.616,19.647,19.416,18.439,18.439,18.439,17.263,17.263,15.297,15.133,15.133,14.142,13.153,13.153,13.038,12.042,11.045,11,9,9,8,8.062,7.071,6.083,5.099,5.385,0,0,0,0,0,0,0,0,0,0,0,0
stand,22.472,23.324,23.854,24.698,25.554,25.554,25.942,25.942,26.833,26.401,26.401,26.401,26.401,26.401,26,26,24.698,25.08,23.77,23.77,23.77,22.847,21.932,21.932,21.024,21.024,20.125,19.235,19.235,18.358,18.358,17.493,17,16.125,15.264,15.264,14.422,13.601,13.601,12.207,12.207,11.402,10.63,9.22,9.22,8.485,8.485,7.071,6.403,5.831,5,4.472,0,0,0,0,0,0,0,0,0,0,0,0
stand,24.083,23.431,24.839,24.759,26.173,26.173,26.87,27.586,27.586,26.907,28.32,27.659,27.019,27.019,26.401,27.019,25.612,25.612,25,25,24.207,23.601,22.804,23.431,22.023,22.023,20.616,20.518,19.799,19.799,19.105,19.105,18.439,17.692,15.556,16.279,15.556,14.866,13.454,12.728,12.042,12.042,11.402,10.63,10,8.602,8.602,7.81,7.211,6.708,6.708,5.385,0,0,0,0,0,0,0,0,0,0,0,0
stand,20.248,20.809,21.633,22.204,23.022,22.804,22.804,23.431,23.431,23.431,24.083,24.083,23.345,23.345,22.627,22.627,21.932,21.932,21.213,21.213,20.518,19.799,19.105,19.849,19.105,19.105,17.692,17.029,17.029,16.401,15.62,15,14.866,14.213,13.601,13.601,12.207,12.207,10.817,10.817,10.817,10.296,8.944,8.944,8.062,6.708,6.708,5.385,5.385,5.099,4.123,3,0,0,0,0,0,0,0,0,0,0,0,0
stand,24.166,24.166,25.08,25.08,26,26.926,26.926,26.571,26.571,27.857,27.514,27.514,27.514,27.203,27.203,27.203,25.962,25,25,25,25,23.77,24.042,23.087,22.136,22.136,21.19,20.248,19.698,19.313,18.385,18.385,17.464,17.464,16.553,16.553,15.652,14.765,13.892,13.892,12.53,11.662,10.817,10,10,8.602,8.602,7.81,7.071,6.403,5.657,4.243,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.022,25,24.207,26.401,25.612,27.019,26.249,27.659,27.586,26.907,27.659,27.586,27.586,27.586,28.284,26.173,27.586,25.456,26.173,25.495,24.839,24.083,23.345,23.345,21.932,22.672,21.213,19.799,20.518,19.105,19.105,19.105,18.439,18.439,17.692,16.279,16.401,15.264,14.422,13.601,12.806,12.207,10.817,11.662,10.296,10.296,8.944,8.062,7.616,6.708,6.325,5.385,0,0,0,0,0,0,0,0,0,0,0,0
stand,24.759,26.173,26.173,26.907,27.659,27.659,28.425,28.601,29.206,28.601,29.411,29.411,29.411,28.844,28.302,28.018,27.459,26.627,27.459,26.926,25.554,24.698,24.698,24.413,23.854,23.022,22.204,21.401,21.401,19.849,20,20,18.601,17.804,17.029,16.279,16.279,14.866,14.866,13.454,13.454,12.728,13.454,10,8.485,10.63,8.485,7.211,7.81,6.708,4.123,7.071,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.345,23.345,23.345,25.179,25.318,26.173,26.173,26.173,26.077,26.077,27.074,27.019,26.019,26.019,26,26,25,24,24,24,24,23,22,22.023,21,21.024,20.025,20.025,19.026,18.111,18.111,18.111,17.117,16.125,15.133,15.297,14.142,14.318,13.342,12.369,12.166,11.402,10.44,9.487,9.487,8.544,7.616,7.616,6.708,5.831,5,5,0,0,0,0,0,0,0,0,0,0,0,0
stand,25.495,26.683,26.683,27.459,28.443,28.443,29.275,29.275,29.275,30.15,30.15,29.155,29.069,29.069,28.018,29.017,28.018,28.018,27.074,27.019,26.019,26.019,25.02,25.08,24.083,24.083,22.091,22.204,21.213,21.378,20.224,19.235,19.235,18.439,17.464,17.464,16.492,15.524,15.524,13.601,13.601,12.649,11.705,10.77,10.77,9.849,8.944,8.062,8.062,6.403,6.403,5.657,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.854,24.413,24.698,25.239,25.807,25.807,26.401,27.019,27.019,27.019,27.019,26.907,26.907,26.907,26.173,26.173,25.456,24.759,24.759,24.042,24.042,24.042,22.627,22.672,22.672,21.26,21.26,19.849,19.209,19.209,18.601,17.804,17.804,17.205,16.401,15.811,15.264,14.422,13.038,13.038,12.53,11.662,11.18,10.296,9.434,8.944,8.944,7.616,7.616,7.071,6.083,6,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.345,24.331,23.345,25.179,25.179,26.173,26.077,26.077,27.019,26.077,26.077,26.077,26.019,26.019,26,25,25,24,24,24,23,23,22,22.023,22.023,21.024,20.025,19.105,19.105,18.111,18.111,17.117,17.117,16.125,16.125,15.297,14.318,14.318,13.342,13.342,12.369,11.402,10.44,9.487,9.487,8.544,7.616,7.616,6.708,5.831,5,5,0,0,0,0,0,0,0,0,0,0,0,0
stand,19.647,20.616,20.616,22.804,21.587,22.804,23.087,23.087,23.087,23.409,23.409,23.77,23.77,22.847,23.259,21.932,22.847,21.024,21.932,21.932,21.024,20.125,18.788,19.698,19.698,18.788,18.385,17.088,18.385,16.155,16.155,15.811,15.232,13.928,14.56,13.601,13.928,12.649,11.705,11.402,10.44,10.44,9.22,9.22,8.246,7.28,7.071,6.083,5.099,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
stand,22.825,23.259,24.597,24.597,25.495,25.495,26.401,26,26,26.571,26.571,26.571,25.632,26.571,25,26.249,25,24.042,24.042,24.042,23.087,23.087,22.804,22.136,21.19,21.19,20.248,20.248,18.385,18.385,18.385,17.464,17.088,16.155,15.652,15.652,14.318,13.416,13.416,12.53,12.083,11.662,10.296,9.434,9.434,8.602,7.81,7.211,6.403,5.657,5,4.243,0,0,0,0,0,0,0,0,0,0,0,0
stand,24.042,24.042,25.298,26.249,25.962,26.926,26.926,27.893,27.659,26.683,27.659,27.659,27.459,27.459,26.476,26.476,26.476,25.495,25.318,25.318,24.331,24.331,23.345,23.537,22.561,22.561,21.587,20.616,19.647,19.925,19.647,18.682,17.72,18.028,17.088,16.155,16.155,15.232,14.318,14.318,13,12.53,11.18,11.18,10.296,9.434,9.434,8.602,7.81,6.403,6.403,5.657,0,0,0,0,0,0,0,0,0,0,0,0
stand,24.083,24.839,24.083,25.495,26.173,26.173,26.173,26.87,27.586,27.586,27.586,27.586,27.659,26.907,27.019,26.249,26.249,24.839,24.839,24.839,24.839,24.839,23.431,22.672,22.672,22.672,21.932,21.213,19.799,19.799,19.105,19.105,17.692,17.692,16.279,15.556,15.62,14.866,15,14.213,12.806,12.207,11.402,10.817,9.434,9.434,8.944,8.062,7.616,6.325,6.325,5.385,0,0,0,0,0,0,0,0,0,0,0,0
stand,26.401,27.203,27.203,27.803,29.206,28.425,29.833,29.833,29.732,29.732,29.732,30.414,30.414,29.698,29,29,29,27.586,27.586,27.586,26.87,26.173,26.173,25.456,25.456,24.759,23.345,23.345,22.672,21.26,21.26,20.616,19.209,19.209,19.209,18.601,17.804,16.401,15.811,14.422,14.422,13.601,13.038,11.662,11.18,10.296,10.296,8.944,8.944,7.616,7.28,7.071,0,0,0,0,0,0,0,0,0,0,0,0
