no-people,people
17.892,19.382
18.466,19.659
19.869,18.818
18.508,17.886
19.688,20.099
20.543,18.628
17.755,19.221
18.327,18.413
20.357,15.363
19.659,15.679
18.444,18.218
19.562,18.092
20.583,16.952
19.385,14.809
19.047,15.561
18.729,15.696
19.268,19.1
17.553,18.363
19.422,18.238
21.79,16.664
15.119,17.637
19.727,15.787
20.166,18.7
21.225,20.787
19.052,20.384
19.7,18.321
19.414,19.402
19.621,16.565
18.757,19.491
17.147,20.261
18.613,19.636
18.296,20.036
19.409,18.881
18.249,17.854
18.721,21.643
20.09,17.894
21.118,19.891
18.692,18.643
19.391,20.735
18.327,19.282
16.905,19.434
19.246,20.135
16.234,21.082
18.46,17.568
21.863,18.299
16.768,18.169
18.557,21.624
18.323,17.311
18.682,17.837
18.299,18.322
17.539,18.603
18.541,18.875
16.616,15.327
18.144,16.527
19.517,16.513
18.244,16.432
19.061,20.483
18.891,18.669
18.445,17.101
20.291,17.169
19.469,17.774
22.669,20.397
19.568,17.203
20.249,20.114
18.006,17.585
19.581,20.617
22.513,19.113
19.872,19.126
18.167,21.036
16.554,20.987
21.382,17.423
16.921,18.672
18.676,16.795
20.786,16.162
17.039,18.936
19.722,19.149
22.072,17.52
18.995,18.648
18.52,18.412
19.084,18.256
22.079,14.257
19.753,16.251
21.663,17.337
19.433,17.757
19.663,19.281
16.571,18.238
16.996,18.5
19.22,18.674
19.789,17.011
19.405,17.323
19.102,18.549
16.532,20.492
20.987,20.365
17.025,21.835
21.004,19.864
19.134,20.591
17.582,18.145
21.62,18.797
18.45,20.535
20.52,20.486
18.108,21.199
19.464,20.032
18.935,21.882
18.041,19.025
19.995,18.11
18.501,17.328
19.046,17.606
20.384,19.477
19.697,16.808
18.312,16.272
20.818,18.806
19.935,20.532
19.923,20.559
19.837,19.208
21.915,18.049
21.701,18.133
19.363,15.613
17.599,19.013
20.33,16.128
20.112,19.039
19.858,17.616
18.882,16.001
20.041,20.41
21.507,19.597
18.524,16.628
19.402,18.279
20.844,20.537
18.519,19.375
19.045,20.032
18.672,21.152
21.255,18.577
20.587,17.945
18.48,17.77
19.406,20.612
19.013,18.463
21.072,18.933
21.316,17.735
16.95,19.104
20.947,18.189
20.427,18.46
19.33,17.094
20.487,16.332
22.126,18.097
22.216,18.479
20.524,15.387
18.962,18
21.364,19.811
19.543,19.644
20.502,20.411
18.605,19.229
17.61,15.799
16.729,18.5
17.361,16.318
16.74,20.917
19.127,16.236
17.739,21.021
18.711,18.896
20.288,19.126
20.524,19.825
19.747,20.206
18.57,23.052
21.288,18.519
19.452,19.206
22.142,19.579
19.67,20.937
17.115,18.65
18.439,18.473
19.757,23.43
19.57,21.728
21.726,16.32
21.228,20.843
18.434,19.839
19.139,17.374
19.689,17.473
17.972,20.335
19.259,18.018
20.655,19.159
19.399,16.36
18.293,18.33
17.378,19.734
17.812,18.437
16.153,18.299
17.657,18.487
17.93,18.173
18.595,17.098
17.324,19.39
20.474,17.112
20.066,17.246
19.719,17.267
19.243,18.084
17.216,17.61
17.798,16.665
19.484,17.508
19.882,16.38
20.177,16.982
17.654,17.044
18.01,19.007
18.288,16.692
18.075,18.406
18.827,20.373
18.732,18.106
19.535,19.875
16.522,17.847
18.846,15.988
17.302,18.013
19.082,18.504
18.519,18.381
18.96,16.165
18.542,18.582
18.631,15.412
19.221,18.729
16.985,16.138
18.944,16.653
18.931,17.341
18.295,16.983
15.753,20.685
18.45,15.483
19.664,17.386
18.492,18.49
19.363,18.202
18.597,18.612
20.507,18.505
19.218,15.961
16.619,18.429
16.498,19.385
19.444,17.931
17.908,19.145
18.395,16.572
19.039,15.468
18.381,17.722
16.96,20.123
20.111,16.171
17.595,20.098
19.085,17.473
19.823,18.182
16.751,18.373
19.572,20.077
19.949,17.134
18.367,17.566
18.085,19.841
18.033,18.679
16.967,17.602
18.967,17.23
20.625,16.985
18.515,17.072
18.862,18.447
17.922,20.456
17.521,16.826
19.35,17.157
17.478,16.914
16.786,18.281
19.676,15.536
19.992,18.253
16.804,19.209
17.103,17.596
17.97,16.422
19.321,20.122
16.849,17.545
19.456,18.977
18.733,15.501
19.743,18.87
19.057,19.66
19.317,17.207
18.728,15.502
16.619,18.383
18.96,17.319
19.762,17.832
19.76,18.794
17.766,18.309
17.772,13.9
18.674,17.799
17.94,19.302
16.334,20.151
18.066,19.627
16.79,18.346
19.317,20.345
16.737,18.711
14.695,18.445
19.578,18.497
19.451,17.29
16.788,20.373
20.118,17.858
18.095,18.935
16.708,19.177
16.597,19.256
19.384,18.774
17.795,19.561
18.183,20.099
19.758,19.442
17.18,18.597
19.988,19.55
15.657,19.679
18.531,17.483
19.879,20.003
17.602,19.555
19.474,19.168
17.049,20.261
19.647,17.982
19.741,17.522
18.167,19.91
17.173,17.321
17.505,18.931
16.536,17.02
17.263,18.853
19.75,20.558
18.741,19.022
17.507,17.116
17.453,17.637
17.288,17.599
18.97,16.557
18.654,18.26
18.931,15.578
18.554,17.618
19.677,16.422
20.127,18.957
17.311,18.329
19.87,16.351
19.469,19.128
18.884,17.463
18.843,19.702
18.8,21.586
17.035,19.846
18.817,18.513
17.156,20.938
18.869,17.883
18.804,20.4
17.977,22.073
17.048,16.725
19.272,16.233
19.081,18.677
18.693,20.16
16.974,17.251
18.252,16.215
20.262,17.188
17.841,15.024
19.515,20.446
17.217,18.191
17.762,16.035
17.309,18.651
20.215,17.031
20.001,18.319
19.154,15.619
19.914,15.718
18.664,18.041
16.241,18.522
17.982,17.573
18.925,18.325
17.71,16.765
17.585,21.896
18.022,18.96
18.683,19.529
17.301,17.782
17.172,19.368
17.525,19.37
17.862,20.143
18.181,20.566
18,21.311
20.446,18.022
18.158,21.723
16.063,21.664
17.422,17.183
17.507,21.065
20.228,21.806
17.878,17.701
14.053,18.35
18.771,16.076
18.973,18.16
17.274,17.175
19.835,15.109
17.566,19.201
19.861,15.942
18.08,19.304
17.742,18.104
18.691,21.21
18.423,18.555
18.643,18.62
19.066,18.141
17.73,18.387
19.379,16.954
18.847,20.101
15.519,18.964
19.053,18.396
19.415,18.518
19.707,17.89
16.007,20.282
17.942,19.963
17.258,19.955
18.583,18.553
16.571,19.526
18.107,21.47
18.934,20.789
17.422,20.141
19.321,19.077
16.481,21.265
16.94,21.666
18.093,20.191
18.578,19.235
16.559,21.094
18.873,19.748
16.904,19.877
18.966,19.375
18.644,18.129
19.1,20.75
15.599,20.13
17.204,20.142
15.568,18.249
15.677,19.254
16.201,20.078
16.964,23.107
18.992,20.21
19.069,19.971
18.067,19.166
18.905,21.111
18.061,16.686
19.79,18.986
16.986,19.007
15.959,19.998
15.969,21.759
17.097,18.814
17.95,19.517
18.779,19.645
20.763,21.17
21.262,17.461
17.711,20.019
16.498,18.086
19.276,23.202
16.857,19.846
16.877,18.415
17.785,20.193
16.873,21.096
17.581,18.866
18.343,19.621
19.521,21.597
17.715,19.89
19.33,17.437
17.814,17.64
18.74,16.292
16.032,17.059
16.078,14.809
17.872,18.086
19.148,18.288
16.928,17.056
19.049,17.779
19.741,18.795
18.619,17.85
17.348,19.437
18.834,18.782
16.601,18.007
20.009,18.401
19.416,17.402
16.891,20.136
18.082,21.164
17.15,21.132
18.363,19.012
17.599,16.92
17.458,16.693
15.973,19.651
18.565,21.619
17.552,19.663
18.525,17.642
20.942,21.596
17.632,19.339
20.709,19.356
16.034,18.356
20.488,17.929
16.877,18.125
18.688,18.963
17.387,18.423
16.743,18.136
19.01,18.197
18.914,21.172
18.508,18.706
18.587,19.17
19.364,19.092
19.415,18.544
19.578,17.918
17.969,15.536
19.03,20.353
18.317,18.442
18.479,16.162
19.062,18.895
19.279,18.328
18.836,19.354
18.254,17.752
16.988,20.743
16.318,19.219
17.088,18.168
20.061,18.651
20.236,21.016
18.939,22.007
19.086,17.685
16.693,20.015
15.972,18.059
18.678,17.716
19.045,20.053
15.973,14.837
19.15,14.803
19.357,15.187
19.195,15.436
18.025,18.075
18.937,15.992
19.78,20.084
17.215,14.61
18.723,18.848
17.921,15.947
16.813,14.445
17.886,16.133
18.538,16.187
19.323,17.434
19.072,16.612
16.813,16.616
20.655,15.78
19.018,16.8
17.879,17.599
18.561,16.284
18.186,20.697
18.489,19.729
15.981,20.865
16.415,19.968
18.995,18.478
17.938,19.528
17.235,22.642
17.434,19.711
17.844,19.12
18.003,18.219
15.83,21.41
16.778,19.478
18.146,19.255
19.103,19.111
16.784,19.679
16.133,19.618
17.988,20.275
17.888,18.52
17.694,21.243
17.628,20.898
17.954,22.597
16.717,20.484
16.913,19.534
17.839,20.113
18.992,20.966
19.186,24.966
18.125,19.564
17.862,20.67
19.004,16.349
18.487,20.526
18.655,19.022
16.789,20.163
21.858,18.06
17.093,18.475
17.288,18.615
16.354,19.752
17.585,19.625
21.351,18.506
17.882,21.208
15.799,23.964
21.435,21.816
16.499,18.971
17.827,20.215
17.47,19.269
18.712,20.159
18.208,20.307
21.921,17.884
18.885,19.753
18.451,20.159
17.629,18.004
18.811,18.255
19.573,19.555
20.249,17.154
17.965,21.347
18.935,19.805
16.735,20.991
17.747,16.525
20.683,21.49
17.017,20.298
19.067,19.43
17.441,17.682
18.745,22.641
18.094,20.567
19.679,19.718
19.236,22.471
16.595,20.686
20.263,19.774
18.799,19.798
18.392,17.746
20.308,16.627
16.704,19.527
16.849,20.403
17.388,18.699
16.809,17.501
17.671,17.563
18.73,20.457
18.116,19.111
19.139,19.172
16.761,17.925
18.848,20.825
18.27,22.169
17.798,18.994
17.771,20.945
18.654,21.09
16.062,19.889
17.365,19.103
17.713,18.245
18.805,18.188
17.87,21.766
16.427,17.197
15.874,19.598
16.026,18.314
17.792,19.907
17.662,12.827
19.341,18.54
18.431,18.559
18.252,16.754
19.908,17.915
18.162,17.874
19.115,21.775
17.493,21.45
17.283,21.632
17.775,20.45
19.808,20.026
19.334,19.068
17.852,18.777
20.462,18.79
20.114,18.303
17.221,18.856
19.566,16.474
17.109,17.443
19.354,20.817
16.043,21.302
18.295,19.224
18.686,17.757
19.506,20.887
16.613,18.021
21.707,15.739
21.202,19.198
18.975,16.182
18.193,19.441
16.336,16.985
18.178,15.502
18.202,14.592
19.952,17.3
19.045,16.407
14.831,19.103
17.406,18.367
18.1,20.546
18.131,17.178
20.076,16.963
19.81,16.709
19.366,18.727
20.059,20.429
18.76,19.128
18.339,18.425
17.991,19.062
19.282,18.339
19.191,19.471
19.222,20.819
17.887,21.56
16.745,19.038
18.493,19.32
16.004,19.619
21.587,19.187
21.335,18.58
18.846,17.139
21.553,20.431
19.722,18.608
20.38,18.769
17.928,20.221
18.679,18.876
17.281,17.615
18.481,17.595
19.014,21.317
19.676,16.242
19.741,19.322
17.87,19.941
19.333,17.85
18.684,19.721
19.53,15.632
19.966,20.833
18.888,16.46
18.394,16.224
16.825,19
18.556,18.242
18.305,19.615
19.398,17.159
16.963,16.762
18.009,21.342
17.855,21.028
18.121,18.026
18.165,19.845
18.824,20.689
19.147,18.519
21.716,19.485
16.79,18.772
18.822,20.028
18.777,17.681
18.974,16.766
19.25,16.04
18.77,16.287
