no-people,people
17.26,18.576
17.26,16.287
17.26,16.47
17.26,19.154
17.26,19.548
17.26,18.593
17.26,21.18
17.26,18.556
17.26,18.337
17.26,18.741
17.26,20.724
17.26,18.295
17.26,21.353
17.26,21.694
17.26,21.498
17.26,18.383
17.26,19.369
17.26,19.522
17.26,19.787
17.26,20.259
17.26,18.621
17.26,17.582
17.26,19.563
17.26,19.478
17.26,21.775
17.26,18.746
17.26,18.388
17.26,18.459
17.26,18.402
17.26,19.996
17.26,17.218
17.26,16.86
17.26,17.529
17.26,18.632
17.26,19.132
17.26,18.298
17.26,21.118
17.26,18.92
17.26,18.676
17.26,21.794
17.26,22.487
17.26,18.849
17.26,21.04
17.26,17.654
17.26,21.193
17.26,20.128
17.26,18.828
17.26,18.401
17.26,18.857
17.26,17.985
17.26,19.706
17.26,18.553
17.26,19.952
17.26,21.774
17.26,17.278
17.26,17.088
17.26,18.392
17.26,21.245
17.26,19.065
17.26,18.973
17.26,19.094
17.26,16.62
17.26,18.239
17.26,20.477
17.26,15.849
17.26,16.37
17.26,18.901
17.26,18.345
17.26,20.432
17.26,20.652
17.26,22.418
17.26,22.761
17.26,20.564
17.26,19.435
17.26,22.004
17.26,19.482
17.26,19.577
17.26,18.431
17.26,16.326
17.26,20.05
17.26,17.957
17.26,17.49
17.26,19.225
17.26,22.171
17.26,19.123
17.26,19.681
17.26,21.279
17.26,21.356
17.26,19.43
17.26,21.195
17.26,18.788
17.26,17.399
17.26,20.553
17.26,20.501
17.26,17.149
17.26,19.495
17.26,20.741
17.26,21.917
17.26,19.094
17.26,17.256
17.26,20.794
17.26,21.033
17.26,18.055
17.26,19.781
17.26,20.612
17.26,18.601
17.26,17.661
17.26,17.046
17.26,19.998
17.26,19.161
17.26,20.281
17.26,19.811
17.26,19.744
17.26,20.333
17.26,16.724
17.26,16.693
17.26,18.269
17.26,17.889
17.26,20.18
17.26,21.174
17.26,22.092
17.26,19.66
17.26,17.411
17.26,19.293
17.26,21.081
18.159,19.513
18.159,20.717
18.159,19.622
18.159,18.225
18.159,18.02
18.159,18.432
18.159,14.829
18.159,19.552
18.159,16.229
18.159,16.811
18.159,17.005
18.159,17.303
18.159,17.159
18.159,17.417
18.159,17.866
18.159,16.866
18.159,19.666
18.159,20.509
18.159,19.595
18.159,17.514
18.159,17.953
18.159,19.434
18.159,22.716
18.159,17.56
18.159,18.056
18.159,19.638
18.159,19.293
18.159,18.393
18.159,19.224
18.159,18.353
18.159,20.504
18.159,18.5
18.159,18.914
18.159,20.036
18.159,18.973
18.159,19.02
18.159,22.6
18.159,18.918
18.159,21.891
18.159,17.952
18.159,17.457
18.159,19.082
18.159,21.354
18.159,17.303
18.159,17.925
18.159,17.469
18.159,17.657
18.159,16.57
18.159,18.548
18.159,18.081
18.159,14.098
18.159,17.309
18.159,17.666
18.159,17.91
18.159,17.032
18.159,20.592
18.159,19.34
18.159,15.306
18.159,18.736
18.159,18.555
18.159,20.789
18.159,18.726
18.159,19.132
18.159,21.211
18.159,17.372
18.159,21.365
18.159,21.476
18.159,20.844
18.159,19.223
18.159,19.419
18.159,20.562
18.159,19.695
18.159,22.173
18.159,18.834
18.159,20.912
18.159,17.804
18.159,18.145
18.159,19.349
18.159,18.258
18.159,16.648
18.159,19.587
18.159,16.701
18.159,18.692
18.159,17.703
18.159,16.64
18.159,18.479
18.159,18.462
18.159,19.455
18.159,17.269
18.159,19.557
18.159,19.683
18.159,20.325
18.159,19.476
18.159,19.102
18.159,21.857
18.159,19.598
18.159,17.288
18.159,18.954
18.159,20.901
18.159,18.642
18.159,19.712
18.159,19.407
18.159,21.112
18.159,19.332
18.159,19.632
18.159,18.623
18.159,17.618
18.159,17.632
18.159,17.369
18.159,18.68
18.159,16.769
18.159,16.827
18.159,18.71
18.159,19.175
18.159,19.308
18.159,21.392
18.159,18.339
18.159,18.946
18.159,16.716
18.159,16.247
18.159,20.022
18.159,16.061
18.159,18.043
18.159,19.351
18.159,20.68
18.159,19.137
18.159,17.053
18.159,17.987
18.159,18.869
18.159,17.637
18.159,14.412
18.159,17.395
18.159,16.44
18.159,19.113
18.159,17.389
18.159,19.788
18.159,21.141
18.159,19.898
18.159,18.339
18.159,20.299
18.159,18.541
18.159,17.55
18.159,17.031
18.159,20.926
20.898,19.496
18.691,17.859
19.785,17.415
18.483,19.528
19.251,18.271
18.142,18.188
19.158,18.734
18.655,19.857
20.365,19.301
18.034,18.512
20.606,18.446
16.527,19.826
18.515,18.348
17.499,18.35
19.389,18.714
16.537,19.452
19.918,19.362
18.599,17.54
20.714,19.814
18.323,17.398
18.143,19.317
18.765,19.422
20.883,17.159
18.231,16.859
21.031,20.9
17.657,19.635
19.23,18.568
20.837,20.301
21.045,19.034
18.329,20.355
18.706,19.248
20.395,21.31
19.288,19.456
17.407,19.877
19.047,21.905
20.715,21.642
19.322,16.776
18.078,17.328
19.71,19.699
16.566,18.804
17.675,17.89
20.423,20.245
17.435,19.056
17.198,16.782
19.261,18.147
17.788,19.348
19.359,20.008
18.495,19.272
19.042,19.815
15.6,18.459
20.893,21.148
18.801,18.517
18.222,17.321
18.938,18.626
19.3,20.946
19.636,20.283
16.371,18.136
18.703,17.221
21.428,18.068
20.602,19.135
21.849,19.171
20.574,18.917
21.938,19.797
19.044,19.692
16.351,19.112
18.628,18.176
20.167,17.477
17.958,19.518
17.742,17.632
21.868,19.862
17.787,20.009
19.613,18.37
21.317,19.352
20.973,20.507
18.688,19.493
19.009,19.894
19.892,19.733
19.651,17.961
19.103,18.393
18.18,17.915
19.635,20.567
17.323,19.822
19.167,20.589
19.755,23.349
19.29,17.994
17.875,18.833
20.23,20.607
19.853,18.234
18.567,20.934
18.004,21.844
20.501,19.655
19.924,19.218
20.438,18.529
19.636,22.879
17.426,17.868
19.392,18.701
21.589,20.178
19.245,18.549
19.463,21.443
19.902,19.477
21.254,20.239
21.332,18.773
21.605,18.682
19.542,18.085
22.083,20.433
18.194,23.357
18.394,18.93
17.284,19.894
19.329,20.286
18.418,19.176
18.267,19.226
19.146,20.89
18.807,18.709
19.374,19.152
19.171,19.051
19.606,20.465
17.473,19.348
17.142,21.907
22.189,22.024
19.061,21.311
18.562,20.205
16.931,20.031
19.564,17.352
19.351,18.202
20.598,20
19.985,18.483
19.945,19.052
21.467,18.464
21.909,19.716
19.063,21.781
19.96,18.748
20.751,20.049
19.829,22.667
16.508,20.198
22.257,19.386
18.616,20.342
20.279,17.554
15.435,19.53
19.773,16.638
20.202,17.637
18.994,19.757
22.522,16.188
22.299,18.209
18.359,18.629
