group,index#1:,index#2:,index#3:,index#4:,index#5:,index#6:,index#7:,index#8:,index#9:,index#10:,index#11:,index#12:,index#13:,index#14:,index#15:,index#16:,index#17:,index#18:,index#19:,index#20:,index#21:,index#22:,index#23:,index#24:,index#25:,index#26:,index#27:,index#28:,index#29:,index#30:,index#31:,index#32:,index#33:,index#34:,index#35:,index#36:,index#37:,index#38:,index#39:,index#40:,index#41:,index#42:,index#43:,index#44:,index#45:,index#46:,index#47:,index#48:,index#49:,index#50:,index#51:,index#52:,index#53:,index#54:,index#55:,index#56:,index#57:,index#58:,index#59:,index#60:,index#61:,index#62:,index#63:,index#64:
unmammed,26.173,27.586,26.907,27.659,27.019,27.203,26.627,26.077,24.698,23.324,23.324,22.472,21.954,21.954,20.591,19.723,19.235,17.493,17.493,16.643,15.811,15,14.213,14.213,13.454,13.454,12.806,11.402,11.662,11.18,11.18,10.77,10.44,10.198,11.18,11.045,11.045,11,11,12.042,11.045,12.166,11.18,11.18,11.18,11.18,11.402,11.402,10.77,11.18,12.083,11.18,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,26.401,27.295,26.42,28.302,27.459,27.203,26.401,26.249,25.495,24.839,24.839,24.083,22.672,22.672,21.932,20.518,20.518,19.105,18.439,18.439,17.804,17.029,16.401,16.643,16.125,15.264,14.318,14.318,13.928,13.601,13.601,13.601,13.342,13.342,13.153,13.038,14,14,14.036,14.036,13.038,14.036,13.153,14.142,13.153,14.142,13.153,12.166,13.342,12.649,12.649,12.649,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,26.249,27.019,27.803,27.203,27.459,26.42,25.942,25.942,25.495,24.597,24.166,23.77,22.847,22.847,20.616,20.616,19.313,18.788,18.788,17.889,17.889,17,16.125,16.643,15.264,15,14.213,14.213,13.454,14.142,13.454,14.213,13.601,13.601,13.416,14.213,13.038,13.416,13.416,13.928,14.318,14.318,13.928,13.601,13.601,13.601,13.601,13.342,13.342,13.153,13.153,12.166,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,29.682,30.017,29.967,29.967,29.547,29.155,28.231,28.46,27.514,27.203,25.962,25.962,24.739,24.042,23.537,22.804,20.881,19.925,18.682,19.925,18.028,17.464,17.088,16.553,16.553,15.652,14.422,15,13.454,14.213,14.142,13.454,13.454,12.806,13.601,14.422,14.422,13.416,13.416,13.416,13.416,13.416,12.649,13,12.649,12.649,12.649,11.402,11.402,11.18,11.18,11.18,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,25.632,26,25.08,26.401,25.495,25.554,25.554,23.854,23.022,22.472,23.022,21.401,20.809,20,20,18.601,17.205,16.643,16.643,15.264,15.264,14.765,13.416,13,13,12.649,11.402,11.18,11.045,11,12,11.045,11.045,11.045,11.18,10.198,10.44,11.402,10.44,10.77,10.77,10.77,9.849,11.18,10.296,10.296,10.296,9.434,9.434,10,9.434,9.22,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,30.806,30.806,30.594,31.401,30.265,30.15,30.067,29.017,28.018,28.018,27,26,25,24,23,21,21,20.025,19.026,18.028,18.111,17.117,16.125,15.297,14.318,13.601,13,12.53,11.662,12.207,11.402,11.402,11.314,10.63,10.817,11.18,10.817,11.662,12.083,11.18,10.77,11.402,10.44,10.44,10.44,10.198,10.198,10.198,10.05,10.05,10,10,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,31.257,31.575,30.594,31.78,31.048,30.364,29.732,29.732,29.155,27.514,26.571,25.632,24.698,24.698,23.77,21.541,20.616,18.974,18.974,18.028,17.72,16.492,14.318,15.133,15.133,14.036,13.038,12.042,12.166,10.44,11.402,12.083,11.18,11.662,10.817,10.63,11.314,11.314,11.314,12.042,11.402,11.662,11.662,11.662,11.662,12.53,11.18,12.083,11.705,12.649,12.649,11.18,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,27.203,27.203,25.632,26.926,26,26.833,25.495,25.06,24.187,23.324,23.854,22.472,21.095,19.723,20.248,18.028,18.358,16.125,16.125,15.652,14.318,14.318,13,12.649,11.705,12.369,11.045,10.05,10.05,10.05,10.198,10.198,9.487,9.849,7.28,8.944,10.817,10.817,9.434,10.63,10,9.899,10.63,10.63,10.63,12.042,10.63,10,10,10.817,10.296,9.434,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,25.08,25.179,25.179,25.318,24.515,24.739,23.77,24.042,23.087,22.136,21.19,21.19,19.925,18.974,18.028,18.028,16.763,15.811,15.524,14.56,13.342,13.342,13.153,12.042,12.042,12,11.045,11.18,10.198,10.44,10.44,10.77,9.849,10.296,10.296,10.817,10.817,10.63,10.63,10.63,10.63,11.314,10.63,10.63,10.63,10.63,10,10,10.296,10.296,10.296,10.296,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,24.759,26.173,24.759,26.249,25.612,25,23.854,24.698,23.324,21.095,21.954,20.591,20.125,19.235,17.889,17,17,15.264,15.264,14.422,13.601,12.806,12.042,12.042,12.042,12.042,11.402,10.817,11.18,10.77,10.77,10.77,11.705,11.402,11.18,11.18,12.166,12.042,11.045,12.042,12,12,11,12.042,12.042,12.042,12.042,12.042,12.166,12.369,12.166,12.166,0,0,0,0,0,0,0,0,0,0,0,0
